body,quantity,value,unit,source,url,retrieved,note
NGC 3198,v_rot(r=10.04 kpc),1.5200e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 152.0 +/- 2.0 km/s (already deprojected, i=73 deg); tracer HI-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 26.64 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=11.04 kpc),1.5500e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 155.0 +/- 2.0 km/s (already deprojected, i=73 deg); tracer HI-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 21.02 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=12.05 kpc),1.5600e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 156.0 +/- 2.0 km/s (already deprojected, i=73 deg); tracer HI-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 15.42 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=14.05 kpc),1.5700e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 157.0 +/- 2.0 km/s (already deprojected, i=73 deg); tracer HI-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 6.42 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=16.07 kpc),1.5300e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 153.0 +/- 2.0 km/s (already deprojected, i=73 deg); tracer HI-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 2.95 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=18.13 kpc),1.5300e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 153.0 +/- 2.0 km/s (already deprojected, i=73 deg); tracer HI-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 2.39 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=20.05 kpc),1.5400e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 154.0 +/- 2.0 km/s (already deprojected, i=73 deg); tracer HI-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 1.44 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=22.12 kpc),1.5300e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 153.0 +/- 2.0 km/s (already deprojected, i=73 deg); tracer HI-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 0.72 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=24.03 kpc),1.5000e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 150.0 +/- 2.0 km/s (already deprojected, i=73 deg); tracer HI-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 0.28 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=26.1 kpc),1.4900e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 149.0 +/- 2.0 km/s (already deprojected, i=73 deg); tracer HI-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 0.16 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=28.16 kpc),1.4800e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 148.0 +/- 2.0 km/s (already deprojected, i=73 deg); tracer HI-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 0.08 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=30.08 kpc),1.4600e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 146.0 +/- 2.0 km/s (already deprojected, i=73 deg); tracer HI-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 0.04 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=32.14 kpc),1.4700e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 147.0 +/- 2.0 km/s (already deprojected, i=73 deg); tracer HI-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 0.02 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=34.06 kpc),1.4800e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 148.0 +/- 2.0 km/s (already deprojected, i=73 deg); tracer HI-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 0.01 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=36.12 kpc),1.4800e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 148.0 +/- 2.0 km/s (already deprojected, i=73 deg); tracer HI-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 0.01 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=38.19 kpc),1.4900e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 149.0 +/- 2.0 km/s (already deprojected, i=73 deg); tracer HI-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 0.0 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=40.1 kpc),1.5000e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 150.0 +/- 2.0 km/s (already deprojected, i=73 deg); tracer HI-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 0.0 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=42.17 kpc),1.5000e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 150.0 +/- 3.0 km/s (already deprojected, i=73 deg); tracer HI-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 0.0 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,v_rot(r=44.08 kpc),1.4900e+05,m/s,"SPARC (Lelli, McGaugh & Schombert 2016) rotmod (Da06/Be91/Be87 hybrid)",https://raw.githubusercontent.com/carsondowns-cte/Rotmod_LTG/refs/heads/main/NGC3198_rotmod.dat,2026-08-31,"Vobs = 149.0 +/- 3.0 km/s (already deprojected, i=73 deg); tracer HI-dominant is a PROVENANCE ESTIMATE (SPARC has no row-level tracer flag). I_disk[3.6] = 0.0 Lsun/pc^2 at Upsilon=1 (observed photometry input). r scales with D=13.8 Mpc."
NGC 3198,sigma_hi(r=0.0 kpc),3.17,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 0.0 arcmin = 0.0 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 4.22."
NGC 3198,sigma_hi(r=2.01 kpc),3.88,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 0.5 arcmin = 2.01 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 5.16."
NGC 3198,sigma_hi(r=4.01 kpc),4.53,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 1.0 arcmin = 4.01 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 6.02."
NGC 3198,sigma_hi(r=6.02 kpc),4.97,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 1.5 arcmin = 6.02 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 6.61."
NGC 3198,sigma_hi(r=8.03 kpc),5.24,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 2.0 arcmin = 8.03 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 6.97."
NGC 3198,sigma_hi(r=10.04 kpc),5.19,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 2.5 arcmin = 10.04 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 6.9."
NGC 3198,sigma_hi(r=12.04 kpc),4.73,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 3.0 arcmin = 12.04 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 6.29."
NGC 3198,sigma_hi(r=14.05 kpc),3.95,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 3.5 arcmin = 14.05 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 5.25."
NGC 3198,sigma_hi(r=16.06 kpc),3.26,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 4.0 arcmin = 16.06 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 4.34."
NGC 3198,sigma_hi(r=18.06 kpc),2.94,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 4.5 arcmin = 18.06 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 3.91."
NGC 3198,sigma_hi(r=20.07 kpc),2.66,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 5.0 arcmin = 20.07 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 3.54."
NGC 3198,sigma_hi(r=22.08 kpc),2.29,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 5.5 arcmin = 22.08 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 3.05."
NGC 3198,sigma_hi(r=24.09 kpc),2.12,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 6.0 arcmin = 24.09 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 2.82."
NGC 3198,sigma_hi(r=26.09 kpc),1.98,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 6.5 arcmin = 26.09 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 2.63."
NGC 3198,sigma_hi(r=28.1 kpc),1.62,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 7.0 arcmin = 28.1 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 2.15."
NGC 3198,sigma_hi(r=30.11 kpc),1.27,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 7.5 arcmin = 30.11 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 1.69."
NGC 3198,sigma_hi(r=32.11 kpc),1.14,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 8.0 arcmin = 32.11 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 1.52."
NGC 3198,sigma_hi(r=34.12 kpc),1.11,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 8.5 arcmin = 34.12 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 1.48."
NGC 3198,sigma_hi(r=36.13 kpc),1.01,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 9.0 arcmin = 36.13 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 1.34."
NGC 3198,sigma_hi(r=38.14 kpc),0.86,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 9.5 arcmin = 38.14 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 1.14."
NGC 3198,sigma_hi(r=40.14 kpc),0.72,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 10.0 arcmin = 40.14 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 0.96."
NGC 3198,sigma_hi(r=42.15 kpc),0.57,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 10.5 arcmin = 42.15 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 0.76."
NGC 3198,sigma_hi(r=44.16 kpc),0.36,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 11.0 arcmin = 44.16 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 0.48."
NGC 3198,sigma_hi(r=46.16 kpc),0.14,Msun/pc^2,Begeman 1989 Table 3 (WSRT 21-cm tilted-ring),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"r = 11.5 arcmin = 46.16 kpc at D=13.8 Mpc (original D=9.4 Mpc; radius rescaled, Sigma_HI itself is column-density based and not D^2-rescaled). HI only; x1.33 for He gives 0.19."
NGC 3198,rotation_curve_hi_only,28,points,Begeman 1989 Table 2 (WSRT 21-cm),https://ui.adsabs.harvard.edu/abs/1989A%26A...223...47B/abstract,2026-08-31,"POINTER ROW: a tracer-clean HI-only rotation curve (28 rings, 0.25-11 arcmin, V_c 55-157 km/s) exists in Begeman 1989 Table 2; transcribe from the source if per-tracer residuals are needed. Radii scale to D=13.8 Mpc as 1 arcmin = 4.014 kpc."
NGC 3198,dark_halo_fit_parameters,not transcribed,-,Li et al. 2020 / SPARC PXL archive,https://arxiv.org/abs/2001.10538,2026-08-31,DELIBERATELY NOT TRANSCRIBED: existing dark-matter halo best-fit values (NFW etc.) are reference-only and are kept out of the observation record so halo assumptions never mix with observed inputs.
